Device,Max Clients,Unique Clients,Building
Moore 310 Hallway,0,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,0,1,Moore Hall
Moore 402 Hallway,0,0,Moore Hall
Moore 257,0,0,Moore Hall
Moore 255 Hallway,0,0,Moore Hall
Moore 457 Hallway,0,1,Moore Hall
Moore 585 Hallway,0,1,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,0,4,Moore Hall
Moore 365 Hallway,0,1,Moore Hall
Moore 570 Hallway,0,0,Moore Hall
Moore 428,0,0,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,0,Moore Hall
Moore 107,0,1,Moore Hall
Moore 560 Hallway,0,0,Moore Hall
Moore 155B,0,1,Moore Hall
Moore 470,0,0,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,0,1,Moore Hall
Moore 225,0,0,Moore Hall
Moore 153B,0,0,Moore Hall
Moore 152,0,0,Moore Hall
Moore 153A,0,1,Moore Hall
Moore 262,0,0,Moore Hall
Moore 103,0,0,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,0,1,Moore Hall
Moore 104 Hallway,0,1,Moore Hall
Moore 321 Hallway,0,0,Moore Hall
Moore 109,0,0,Moore Hall
Moore 162,0,0,Moore Hall
Moore 370,0,0,Moore Hall
Moore 575 Hallway,0,0,Moore Hall
Moore 256 DH,0,0,Moore Hall
Moore 156,0,0,Moore Hall
Moore 360 Hallway,0,1,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,0,1,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,0,0,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,0,0,Moore Hall
Moore 112,0,0,Moore Hall
Moore 256 Ewa,0,1,Moore Hall
Moore 253,0,0,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,0,0,Moore Hall
Moore 218 Hallway,0,0,Moore Hall
Moore 161,0,1,Moore Hall
Moore 258,0,0,Moore Hall
Moore 570,0,1,Moore Hall
Moore 481 Hallway,0,0,Moore Hall
Moore 496 Hallway,0,0,Moore Hall
Webster 200A,0,0,Webster Hall
Snyder 410 Hallway,0,0,Snyder Hall
Webster 332 Hallway,0,0,Webster Hall
Webster 201,0,1,Webster Hall
Webster 222 Hallway,0,0,Webster Hall
Snyder 411 Hallway,0,0,Snyder Hall
Spalding 353B,0,0,Spalding Hall
Spalding 354D,0,0,Spalding Hall
Paradise Palms DH Makai Dining,0,0,Paradise Palms
Paradise Palms Dunkin,0,0,Paradise Palms
Spalding 352,0,0,Spalding Hall
Spalding 255,0,2,Spalding Hall
Paradise Palms Center Dining,0,0,Paradise Palms
Spalding 454,0,0,Spalding Hall
Spalding 362,0,0,Spalding Hall
Spalding 358,0,0,Spalding Hall
Spalding 155 Mauka Ewa,0,1,Spalding Hall
Paradise Palms Ewa Makai Dining,0,0,Paradise Palms
Paradise Palms DH Mauka Dining,0,0,Paradise Palms
Spalding 155 Makai Ewa,0,0,Spalding Hall
Spalding 354,0,0,Spalding Hall
Spalding 155 Makai DH,0,0,Spalding Hall
Spalding 360,0,0,Spalding Hall
Spalding 453A,0,0,Spalding Hall
Spalding 257,0,0,Spalding Hall
Spalding 155 Mauka DH,0,0,Spalding Hall
Paradise Palms Ewa Mauka Dining,0,0,Paradise Palms
Snyder 401 Hallway,0,0,Snyder Hall
Snyder 107 BET,0,0,Snyder Hall
Emergency Call Box Snyder,0,0,Snyder Hall
Noelani A 107T,0,3,Noelani
HIG 314A,0,0,HIG
HIG 351 Hallway,0,0,HIG
HIG 312,0,0,HIG
HIG 340,0,1,HIG
HIG 305A,0,0,HIG
HIG 318,0,1,HIG
HIG 131,0,0,HIG
HIG 364 Hallway,0,0,HIG
HIG 353,0,0,HIG
HIG 337,0,1,HIG
HIG 367,0,1,HIG
HIG 316,0,0,HIG
HIG 333,0,1,HIG
HIG 303,0,0,HIG
HIG 109,0,1,HIG
HIG 315,0,0,HIG
HIG 376,0,0,HIG
HIG 151,0,0,HIG
HIG 311,0,0,HIG
HIG 110 Mauka Ewa,0,0,HIG
HIG 375,0,0,HIG
HIG 105B,0,0,HIG
HIG 110 Mauka DH,0,1,HIG
HIG 108,0,0,HIG
HIG 372,0,0,HIG
HIG 117A,0,0,HIG
HIG 309,0,0,HIG
HIG 310,0,0,HIG
HIG 321,0,2,HIG
HIG 131A,0,1,HIG
HIG 362,0,3,HIG
Kuykendall 101 Ewa Makai,0,0,Kuykendall
Kuykendall 106 Hallway,0,2,Kuykendall
HIG 417 Mauka,0,0,HIG
HIG 440,0,0,HIG
HIG 215C,0,0,HIG
HIG 116,0,0,HIG
HIG 213,0,0,HIG
Kuykendall 101 DH,0,0,Kuykendall
Kuykendall 310 Hallway,0,0,Kuykendall
Kuykendall 307 Hallway,0,0,Kuykendall
HIG 412,0,0,HIG
HIG 410A,0,0,HIG
HIG 135,0,0,HIG
HIG 305,0,0,HIG
HIG 211,0,0,HIG
HIG 413,0,0,HIG
HIG 432,0,0,HIG
HIG 232,0,0,HIG
Kuykendall 210 Hallway,0,0,Kuykendall
HIG 214,0,0,HIG
Kuykendall 415 Hallway,0,0,Kuykendall
HIG 336,0,0,HIG
Kuykendall 412 Hallway,0,1,Kuykendall
HIG 131C,0,1,HIG
HIG 210,0,0,HIG
Kuykendall 213,0,0,Kuykendall
Kuykendall 201A,0,1,Kuykendall
HIG 205,0,0,HIG
HIG P3,0,0,HIG
Kuykendall 521 Hallway,0,0,Kuykendall
Kuykendall 101 Ewa Mauka,0,0,Kuykendall
HIG 222,0,0,HIG
HIG 406,0,0,HIG
HIG 238,0,0,HIG
Kuykendall 316 Hallway,0,0,Kuykendall
Kuykendall 409 Hallway,0,0,Kuykendall
HIG 409D,0,0,HIG
HIG 411,0,2,HIG
HIG 107,0,0,HIG
HIG 105,0,0,HIG
HIG 418,0,0,HIG
Kuykendall 323 Hallway,0,0,Kuykendall
HIG 152 Ewa,0,0,HIG
HIG B005,0,0,HIG
HIG 215,0,0,HIG
HIG 110 Makai Ewa,0,0,HIG
HIG 206,0,0,HIG
HIG 416B,0,1,HIG
Kuykendall 225 Hallway,0,0,Kuykendall
HIG 409,0,0,HIG
HIG 115,0,1,HIG
HIG P5,0,1,HIG
Kuykendall 204,0,0,Kuykendall
HIG 404,0,0,HIG
Kuykendall 325 Hallway,0,0,Kuykendall
HIG 231,0,0,HIG
HIG 421,0,1,HIG
Kuykendall 207 Hallway,0,0,Kuykendall
HIG 133,0,0,HIG
Kuykendall 309 Hallway,0,0,Kuykendall
Kuykendall 402 Hallway,0,0,Kuykendall
HIG 417 Makai,0,0,HIG
HIG 415A,0,0,HIG
HIG 152 DH,0,0,HIG
HIG 153A,0,0,HIG
HIG 153,0,1,HIG
HIG 407A,0,0,HIG
HIG 437,0,0,HIG
HIG 208,0,0,HIG
HIG 435,0,0,HIG
HIG 217,0,1,HIG
Kuykendall 721 Hallway,0,0,Kuykendall
Holmes 356,0,1,Holmes Hall
Kuykendall BET Outdoor,0,0,Kuykendall
Kuykendall 411 Hallway,0,1,Kuykendall
Kuykendall 419 Hallway,0,0,Kuykendall
Holmes 452,0,1,Holmes Hall
Kuykendall 417 Hallway,0,0,Kuykendall
Holmes 448,0,4,Holmes Hall
Holmes 390,0,2,Holmes Hall
Holmes 357,0,0,Holmes Hall
Kuykendall 716 Hallway,0,1,Kuykendall
Holmes 347,0,1,Holmes Hall
Holmes 142 Makai,0,1,Holmes Hall
Holmes 287,0,0,Holmes Hall
Kuykendall 426 Hallway,0,0,Kuykendall
Kuykendall 206 Temp,0,1,Kuykendall
Kuykendall 313,0,0,Kuykendall
Kuykendall 318 Hallway,0,0,Kuykendall
Holmes 352 Hallway,0,3,Holmes Hall
Holmes 310B,0,2,Holmes Hall
Kuykendall 106A,0,0,Kuykendall
Kuykendall 307 DH,0,0,Kuykendall
Holmes 240C,0,0,Holmes Hall
Holmes 447 Hallway,0,0,Holmes Hall
Kuykendall 514 Hallway,0,0,Kuykendall
Holmes 310,0,0,Holmes Hall
Holmes 385 DH,0,1,Holmes Hall
Kuykendall 107 Hallway,0,1,Kuykendall
Kuykendall 616 Hallway,0,0,Kuykendall
Holmes 142B,0,3,Holmes Hall
Holmes 142 Mauka,0,0,Holmes Hall
Holmes 336 Hallway,0,0,Holmes Hall
Kuykendall 304,0,0,Kuykendall
Holmes 348D,0,1,Holmes Hall
Kuykendall 523 Hallway,0,0,Kuykendall
Holmes 306,0,0,Holmes Hall
Kuykendall 209 DH,0,0,Kuykendall
Holmes 308,0,0,Holmes Hall
Kuykendall 621 Hallway,0,0,Kuykendall
Holmes 181 Hallway,0,0,Holmes Hall
Holmes 386,0,0,Holmes Hall
Holmes 140A,0,0,Holmes Hall
Holmes 350A,0,0,Holmes Hall
Kuykendall 408,0,0,Kuykendall
Kuykendall 223 Hallway,0,0,Kuykendall
Kuykendall 310,0,0,Kuykendall
Kuykendall 424 Hallway,0,0,Kuykendall
Holmes 183,0,0,Holmes Hall
Holmes 388,0,0,Holmes Hall
Holmes 286 Hallway,0,0,Holmes Hall
Kuykendall 401A,0,0,Kuykendall
Kuykendall 201 Hallway,0,0,Kuykendall
Kuykendall 305,0,0,Kuykendall
Kuykendall 101 Hallway DH,0,0,Kuykendall
Holmes 458,0,0,Holmes Hall
Holmes 288A,0,0,Holmes Hall
Holmes 457,0,0,Holmes Hall
Holmes 288,0,0,Holmes Hall
Kuykendall 407,0,0,Kuykendall
Kuykendall 101 Hallway Ewa,0,0,Kuykendall
Kuykendall 303,0,0,Kuykendall
Kuykendall 301 Ewa,0,0,Kuykendall
Holmes 300 Hallway,0,0,Holmes Hall
Holmes 382 Hallway,0,1,Holmes Hall
Holmes 341 Hallway,0,0,Holmes Hall
Holmes 407,0,1,Holmes Hall
Kuykendall 309,0,0,Kuykendall
Holmes 451,0,0,Holmes Hall
Holmes 304 Hallway,0,0,Holmes Hall
Holmes 182,0,0,Holmes Hall
Kuykendall 306 DH,0,0,Kuykendall
Kuykendall 301 DH,0,0,Kuykendall
Holmes 102MA,0,0,Holmes Hall
Holmes 181,0,0,Holmes Hall
Kuykendall 516 Hallway,0,0,Kuykendall
Holmes 458 Hallway,0,6,Holmes Hall
Kuykendall 724 Hallway,0,1,Kuykendall
Kuykendall 614 Hallway,0,1,Kuykendall
Holmes 358,0,0,Holmes Hall
Kuykendall 216 Hallway,0,0,Kuykendall
Holmes 387,0,0,Holmes Hall
Holmes 385 Hallway,0,0,Holmes Hall
Kuykendall 210,0,0,Kuykendall
Holmes 2nd Fl Ewa Commons,0,0,Holmes Hall
Holmes 240 DH,0,0,Holmes Hall
Holmes 244 Makai,0,1,Holmes Hall
Holmes 101 Hallway,0,0,Holmes Hall
Holmes 143C,0,0,Holmes Hall
HIG Makai-DH Exterior,0,0,HIG
Holmes 206 Hallway,0,3,Holmes Hall
Holmes 412,0,0,Holmes Hall
PSB 111,0,0,Physical Science Building
PSB 217 Makai Ewa,0,0,Physical Science Building
Watanabe 213 Hallway,0,1,Watanabe
Moore 111,0,0,Moore Hall
Moore 117 Ewa,0,0,Moore Hall
Moore 202,0,0,Moore Hall
Moore 155A,0,1,Moore Hall
Moore 227,0,0,Moore Hall
Moore 423 Hallway,0,1,Moore Hall
Moore 259,0,1,Moore Hall
Moore 211 Hallway,0,0,Moore Hall
Moore 120,0,0,Moore Hall
Moore 203,0,0,Moore Hall
Moore 105,0,0,Moore Hall
Moore 224,0,0,Moore Hall
Moore 421 Hallway,0,0,Moore Hall
Moore 414 Hallway,0,0,Moore Hall
Moore 226,0,0,Moore Hall
Moore 207,0,0,Moore Hall
Moore 208A Hallway,0,0,Moore Hall
Moore 254,0,1,Moore Hall
Moore 394,0,0,Moore Hall
Moore 206,0,0,Moore Hall
Moore 228 Mauka,0,0,Moore Hall
Hamilton P3 456,0,0,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,0,Hamilton Library
Hamilton P3 356 Makai,0,0,Hamilton Library
Hamilton P3 550,0,0,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,0,0,Hamilton Library
Hamilton P2 109A,0,0,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,0,Hamilton Library
Hamilton P3 553,0,0,Hamilton Library
Hamilton P3 356 Mauka,0,0,Hamilton Library
Hamilton P3 552 DH,0,0,Hamilton Library
Hamilton P3 354A DH,0,0,Hamilton Library
Hamilton P2 526,0,0,Hamilton Library
Hamilton P3 150A,0,1,Hamilton Library
Hamilton P3 A153,0,0,Hamilton Library
Hamilton P2 114A/113,0,0,Hamilton Library
Hamilton P3 Bridge,0,0,Hamilton Library
Hamilton P3 A260 Makai,0,0,Hamilton Library
Hamilton P3 456 Mauka,0,0,Hamilton Library
Hamilton P2 008I Hallway,0,0,Hamilton Library
Hamilton P2 401,0,1,Hamilton Library
Hamilton P3 456 Makai,0,0,Hamilton Library
Hamilton P3 454A DH,0,0,Hamilton Library
Hamilton P3 A261 Study Area,0,0,Hamilton Library
Hamilton P3 151E,0,0,Hamilton Library
Hamilton P3 150A Study Area,0,0,Hamilton Library
Hamilton P3 553C,0,0,Hamilton Library
Hamilton P3 356,0,0,Hamilton Library
Hamilton P3 258,0,0,Hamilton Library
Hamilton P2 501,0,0,Hamilton Library
Hamilton P2 120,0,0,Hamilton Library
Hamilton P2 200 Elevator7 Column,0,0,Hamilton Library
Hamilton P2 110A,0,1,Hamilton Library
Hamilton 412 Hallway,0,0,Hamilton Library
Hamilton P1 100 CLIC,0,0,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
Hamilton P2 113,0,0,Hamilton Library
Hamilton P2 422/423 Hallway,0,0,Hamilton Library
Hamilton P1 301-Conference Rm,0,0,Hamilton Library
Hamilton P1 101 Ewa,0,0,Hamilton Library
Hamilton P2 014 DH,0,0,Hamilton Library
Hamilton P2 320,0,0,Hamilton Library
Hamilton P2 511,0,0,Hamilton Library
Hamilton P3 BET,0,0,Hamilton Library
Hamilton P1 002-Administration,0,0,Hamilton Library
Hamilton P1 200,0,0,Hamilton Library
Hamilton P3 552 Ewa,0,0,Hamilton Library
Hamilton P2 400,0,0,Hamilton Library
Hamilton P3 156,0,0,Hamilton Library
Hamilton P1 003 Mauka,0,0,Hamilton Library
Hamilton P2 016,0,0,Hamilton Library
Hamilton P1 003F,0,1,Hamilton Library
Hamilton 4th Fl Asia 12,0,0,Hamilton Library
Hamilton P2 306 Ewa,0,1,Hamilton Library
Hamilton P2 006B,0,0,Hamilton Library
Hamilton P1 002k (old),0,0,Hamilton Library
Hamilton P3 052,0,0,Hamilton Library
Hamilton 4th Fl Asia 27,0,0,Hamilton Library
Hamilton P1 006A Ewa,0,0,Hamilton Library
Hamilton P2 405-Asia-Collections-Staff,0,0,Hamilton Library
Hamilton P1 201 Hallway,0,0,Hamilton Library
Hamilton P1 102,0,0,Hamilton Library
Hamilton 4th Fl Asia 32,0,0,Hamilton Library
Hamilton PI 006C,0,0,Hamilton Library
Hamilton P2 108,0,0,Hamilton Library
Hamilton P2 1stFl Elevator,0,0,Hamilton Library
Hamilton P1 006D Ewa,0,1,Hamilton Library
Hamilton P1 006A,0,0,Hamilton Library
Hamilton P1 006D DH,0,0,Hamilton Library
Hamilton P1 211 Hallway,0,0,Hamilton Library
Hamilton P2 029,0,0,Hamilton Library
Hamilton P1 208,0,0,Hamilton Library
Hamilton P1 006 DH,0,0,Hamilton Library
Hamilton P1 202,0,0,Hamilton Library
Hamilton P1 101 DH,0,0,Hamilton Library
Hamilton P1 100-Study Area,0,0,Hamilton Library
Hamilton 4th Fl Asia 22,0,0,Hamilton Library
Hamilton P2 508,0,0,Hamilton Library
Hamilton P2 014 Ewa,0,0,Hamilton Library
Hamilton 4th Fl Asia 20,0,0,Hamilton Library
Hamilton P1 002K,0,0,Hamilton Library
Hamilton P2 112,0,0,Hamilton Library
Hamilton P2 3rdFl-Freight Elevator,0,0,Hamilton Library
Hamilton P2 026,0,0,Hamilton Library
Hamilton P2 306 DH,0,0,Hamilton Library
Hamilton 4th Fl Asia 16,0,0,Hamilton Library
Hamilton P2 159 Mauka,0,0,Hamilton Library
Hamilton 4th Fl Asia 34,0,0,Hamilton Library
Hamilton P1 101 Hallway,0,0,Hamilton Library
Hamilton P2 217 Hallway,0,0,Hamilton Library
Hamilton P2 008 DH,0,0,Hamilton Library
Hamilton P1 159 Makai,0,0,Hamilton Library
Hamilton P1 003 Makai,0,1,Hamilton Library
Hamilton P1 006A GovDocs,0,0,Hamilton Library
Hamilton P2 008 Ewa,0,0,Hamilton Library
Hamilton P2 123,0,0,Hamilton Library
Hamilton P1 006 Ewa,0,1,Hamilton Library
Spalding 258A,0,0,Spalding Hall
Spalding 258,0,0,Spalding Hall
Edmondson 114,0,3,Edmondson Hall
Edmondson 112,0,3,Edmondson Hall
Edmondson 111,0,0,Edmondson Hall
Edmondson 3rd Fl Lanai,0,0,Edmondson Hall
Edmondson 1st Fl Lanai,0,0,Edmondson Hall
Edmondson 2nd Fl Lanai,0,0,Edmondson Hall
Edmondson 104,0,0,Edmondson Hall
Edmondson 101,0,1,Edmondson Hall
Edmondson 110,0,0,Edmondson Hall
Edmondson 103,0,1,Edmondson Hall
Edmondson 408,0,0,Edmondson Hall
Edmondson 212,0,0,Edmondson Hall
Edmondson 301 Mauka,0,2,Edmondson Hall
Edmondson 301 Makai,0,0,Edmondson Hall
Edmondson 401 Center,0,1,Edmondson Hall
Webster 203 Makai,0,0,Webster Hall
Webster 115,0,2,Webster Hall
Edmondson 301 Center,0,0,Edmondson Hall
Edmondson 401 Mauka,0,1,Edmondson Hall
Webster 101 Mauka,0,7,Webster Hall
Webster 446 Hallway,0,2,Webster Hall
Webster 114,0,0,Webster Hall
Webster 116,0,0,Webster Hall
Edmondson 411,0,1,Edmondson Hall
Webster 203 Ewa,0,0,Webster Hall
Webster 103 Hallway,0,0,Webster Hall
Edmondson 418,0,0,Edmondson Hall
Edmondson 203,0,2,Edmondson Hall
Webster 102,0,0,Webster Hall
Webster 112,0,1,Webster Hall
Edmondson 313,0,1,Edmondson Hall
Edmondson 401 Makai,0,0,Edmondson Hall
Edmondson 216,0,0,Edmondson Hall
Edmondson 201,0,0,Edmondson Hall
Webster 407 Hallway,0,1,Webster Hall
Edmondson 414,0,0,Edmondson Hall
Webster 327 Hallway,0,1,Webster Hall
Webster 303 Hallway,0,0,Webster Hall
Edmondson 215,0,1,Edmondson Hall
Webster 101 Makai,0,0,Webster Hall
Webster 103,0,0,Webster Hall
Webster Hallway 319E,0,0,Webster Hall
Webster 412 Hallway,0,0,Webster Hall
Webster 314 Hallway,0,0,Webster Hall
Webster 205,0,0,Webster Hall
Edmondson 213A,0,1,Edmondson Hall
Webster 214 Hallway,0,0,Webster Hall
Webster 438 Hallway,0,0,Webster Hall
Webster 432 Hallway,0,0,Webster Hall
Webster 218 Hallway,0,0,Webster Hall
Edmondson 309,0,0,Edmondson Hall
Edmondson 205,0,2,Edmondson Hall
Webster 203 Mauka,0,0,Webster Hall
Webster Hallway 317,0,0,Webster Hall
Webster 442 Hallway,0,0,Webster Hall
Webster 337 Hallway,0,0,Webster Hall
Webster 323 Hallway,0,0,Webster Hall
Edmondson 318,0,1,Edmondson Hall
Edmondson 308,0,0,Edmondson Hall
Webster 301,0,1,Webster Hall
Webster 402,0,1,Webster Hall
Webster 104,0,0,Webster Hall
Webster 201A,0,0,Webster Hall
Webster 204AA,0,1,Webster Hall
Edmondson 4th Fl Lanai,0,0,Edmondson Hall
Webster 113,0,0,Webster Hall
Webster 334,0,4,Webster Hall
Snyder 401C Hallway,0,0,Snyder Hall
Webster 403 Hallway,0,0,Webster Hall
PSB 402 Hallway,0,0,Physical Science Building
PSB 110,0,0,Physical Science Building
PSB 213,0,0,Physical Science Building
PSB 102 Hallway,0,0,Physical Science Building
PSB 208 DH,0,0,Physical Science Building
PSB Ewa Exterior Makai,0,0,Physical Science Building
Watanabe 209 Hallway,0,1,Watanabe
PSB 202 Hallway,0,0,Physical Science Building
Watanabe 112 DH,0,1,Watanabe
Watanabe 110,0,0,Watanabe
PSB 217 Mauka Ewa,0,0,Physical Science Building
PSB 217 Makai DH,0,1,Physical Science Building
PSB 210A,0,0,Physical Science Building
PSB 214,0,0,Physical Science Building
Watanabe 229 Hallway,0,0,Watanabe
PSB Ewa Exterior Mauka,0,0,Physical Science Building
PSB 112,0,0,Physical Science Building
PSB 211,0,0,Physical Science Building
PSB 407 Hallway,0,0,Physical Science Building
PSB 306 Hallway,0,0,Physical Science Building
PSB 319 Hallway,0,2,Physical Science Building
PSB 311 DH,0,0,Physical Science Building
Watanabe 109,0,0,Watanabe
PSB 310 DH,0,0,Physical Science Building
Watanabe 333 Hallway,0,0,Watanabe
Watanabe 412 Hallway,0,3,Watanabe
Watanabe 330 Hallway,0,0,Watanabe
Watanabe 437 Hallway,0,0,Watanabe
PSB 317,0,0,Physical Science Building
PSB 310 Ewa,0,0,Physical Science Building
Watanabe 217 Hallway,0,0,Watanabe
Watanabe 112 Ewa,0,0,Watanabe
Watanabe 404 Hallway,0,2,Watanabe
Watanabe 432 Hallway,0,1,Watanabe
PSB 108,0,0,Physical Science Building
PSB 209,0,1,Physical Science Building
Watanabe 420 Ewa,0,0,Watanabe
PSB 313,0,0,Physical Science Building
Watanabe 302 Hallway,0,1,Watanabe
Watanabe 234 Hallway,0,0,Watanabe
Watanabe 310 Hallway,0,0,Watanabe
Watanabe 420 DH,0,0,Watanabe
PSB 217 Mauka DH,0,0,Physical Science Building
Watanabe 202 Hallway,0,1,Watanabe
Watanabe 205 Hallway,0,0,Watanabe
Watanabe 312 Hallway,0,0,Watanabe
PSB 314,0,0,Physical Science Building
Watanabe 306 Hallway,0,1,Watanabe
PSB 309A,0,0,Physical Science Building
Watanabe 113,0,0,Watanabe
PSB 312C,0,0,Physical Science Building
Watanabe 336 Hallway,0,1,Watanabe
PSB 208 Ewa,0,0,Physical Science Building
Watanabe 327 Hallway,0,0,Watanabe
PSB 311 Ewa Makai,0,0,Physical Science Building
Watanabe 416,0,0,Watanabe
Keller 206,0,0,Keller
Watanabe 428 Hallway,0,2,Watanabe
Keller 3rd Fl Lounge,0,1,Keller
Watanabe 114,0,0,Watanabe
Keller 218,0,0,Keller
Keller 103 LAVA,0,0,Keller
Watanabe 415,0,0,Watanabe
Watanabe 225 Hallway,0,0,Watanabe
Keller 219,0,0,Keller
Keller 401A Hallway,0,0,Keller
Keller 301A Hallway,0,0,Keller
Keller 413,0,0,Keller
Keller 402,0,0,Keller
Keller 303 Ewa,0,0,Keller
Keller 214,0,1,Keller
Keller 213,0,0,Keller
Keller 304A Hallway,0,0,Keller
Keller 304 Hallway,0,0,Keller
Keller 313,0,0,Keller
Keller 301,0,0,Keller
Keller 302 DH,0,0,Keller
Keller 302 Ewa,0,0,Keller
Keller 303 DH,0,0,Keller
Keller 403 Hallway,0,1,Keller
Keller 314,0,0,Keller
Keller 414,0,0,Keller
Keller 403,0,0,Keller
Keller 401,0,1,Keller
Bilger Hall 319 Makai,0,0,Bilger Hall
Bilger Hall 309,0,0,Bilger Hall
Keller 102 Makai Ewa,0,0,Keller
Keller 102 Makai DH,0,1,Keller
Keller 102 Mauka,0,0,Keller
Keller 201,0,1,Keller
Keller 404,0,1,Keller
Bilger Hall 335 Mauka DH,0,0,Bilger Hall
Bilger Hall 201,0,0,Bilger Hall
Keller 406,0,0,Keller
Bilger Hall 212,0,0,Bilger Hall
Bilger Hall 337,0,0,Bilger Hall
Keller 209,0,0,Keller
Bilger Hall 314,0,0,Bilger Hall
Bilger Hall 239 Hallway,0,2,Bilger Hall
Keller 203,0,0,Keller
Bilger Hall 335 Mauka Ewa,0,0,Bilger Hall
Keller 103 Vault,0,0,Keller
Keller 204,0,1,Keller
Bilger Hall 341A,0,0,Bilger Hall
Bilger Hall 152 Ewa Mauka,0,0,Bilger Hall
Bilger Hall 116,0,0,Bilger Hall
Bilger Hall 150 Ewa,0,0,Bilger Hall
Bilger Hall 112,0,0,Bilger Hall
Bilger Hall 311A,0,0,Bilger Hall
Bilger Hall 335 Makai Ewa,0,0,Bilger Hall
Bilger Addition 217 Hallway,0,0,Bilger Addition
Krauss 101B Hallway,0,1,Krauss
Bilger Hall 207,0,1,Bilger Hall
Bilger Addition 103 Hallway,0,0,Bilger Addition
Bilger Addition 105 Hallway,0,0,Bilger Addition
Bilger Addition 405 Hallway,0,1,Bilger Addition
Bilger Hall 152 DH Mauka,0,1,Bilger Hall
Bilger Hall 235 Hallway,0,0,Bilger Hall
Bilger Hall 107,0,0,Bilger Hall
Bilger Hall 150 Mauka,0,0,Bilger Hall
Bilger Hall 335 Makai DH,0,0,Bilger Hall
Krauss 014,0,0,Krauss
Bilger Hall 152 DH Makai,0,0,Bilger Hall
Bilger Hall 214,0,0,Bilger Hall
Krauss 120,0,0,Krauss
Bilger Hall 247 Hallway,0,0,Bilger Hall
Bilger Hall 319 Mauka,0,0,Bilger Hall
Krauss 023,0,1,Krauss
Bilger Hall 321,0,0,Bilger Hall
Bilger Hall 205,0,0,Bilger Hall
Bilger Hall 251,0,0,Bilger Hall
Krauss 011,0,0,Krauss
Krauss 002 Gallery,0,0,Krauss
Bilger Addition 214 Hallway,0,0,Bilger Addition
Bilger Hall 152 Ewa Makai,0,0,Bilger Hall
Krauss 004A,0,1,Krauss
Bilger Hall 303 Hallway,0,1,Bilger Hall
